#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1750194812518141696,0.0006656650725762603,-0.0038437224918705937,-0.0004456092953630808,0.9999998267747129,-0.0004011156502294659,7.3231475737956645e-06,-0.0004307007669862695
1750194812641742592,0.0006734411398463536,-0.0038910983725095605,-0.00045573589550462756,0.999999821886259,-0.0004070145232470034,8.52264533339558e-06,-0.00043645617480796985
1750194812869812224,0.0006857491369727242,-0.003957883126466832,-0.000469347255463326,0.999999813266488,-0.0004175809364042152,1.90749468549642e-05,-0.0004457906427555715
1750194812992402432,0.0006886731914264033,-0.004004030519065616,-0.0004821212084320514,0.9999998081196638,-0.0004234129346650967,2.707787341995878e-05,-0.00045138554572343156
1750194813220525312,0.000699008160048642,-0.004051286410570398,-0.0004932747674835092,0.9999997998418215,-0.0004359772768912121,3.4357308291321775e-05,-0.00045723047391681913
1750194813344010496,0.000702522236868397,-0.0040919866366850854,-0.0005005656789029977,0.9999997950292464,-0.0004441815556755209,3.8189889091932316e-05,-0.00045954949991546684
1750194813572112128,0.0007139758854162181,-0.004142459884221239,-0.0005084774382502211,0.999999794230151,-0.0004510204273390231,4.089967846012867e-05,-0.00045436488251594006
1750194813696752384,0.0007199328696509966,-0.0041918508825924405,-0.0005178370207419292,0.9999997880361363,-0.00045528211203426023,4.526405551008593e-05,-0.00046324620464678677
1750194813924554752,0.0007292456446457152,-0.004240898799960036,-0.0005264886213631748,0.9999997832666654,-0.00046187829094727136,4.917895780622028e-05,-0.00046660100372515395
1750194814047890944,0.000735473152569277,-0.004292120654418419,-0.0005361629654920819,0.9999997765358354,-0.0004674112176050101,5.278249377282563e-05,-0.00047504635674976365
1750194814276243712,0.0007468855341628,-0.004340040620054886,-0.0005448755490125023,0.9999997756439115,-0.00047043775230245724,5.841083202148847e-05,-0.0004732743629978194
1750194814400031744,0.000751036068267652,-0.004388381539829567,-0.0005541301737777005,0.9999997691496537,-0.0004750024684493637,6.448872668539911e-05,-0.00048157501852161494
1750194814626690304,0.0007604931300519979,-0.004447077150748768,-0.0005628852660923833,0.9999997624356735,-0.0004795578188411995,6.712457801097253e-05,-0.0004905580351116751
1750194814751469568,0.0007673368524265811,-0.0045058894650269465,-0.0005742911378492366,0.9999997548603621,-0.0004891050239083434,7.397560371403614e-05,-0.000495563418202112
1750194814977596160,0.0007782123822481779,-0.004552931840682284,-0.0005815266631876703,0.9999997501410717,-0.0004975924487761566,7.689627843267709e-05,-0.0004961920104914256
1750194815101044736,0.0007844869613915506,-0.004602979164761045,-0.0005902269216631062,0.9999997413849936,-0.0005104368757289825,7.808718389130377e-05,-0.0005005861899725632
1750194815333250048,0.000791347072190085,-0.004646217613969661,-0.0006001044260939281,0.9999997346708881,-0.000512214790091105,8.424123125363839e-05,-0.0005110749235390426
1750194815455624448,0.000800308010962425,-0.004706073716601367,-0.0006101206101565282,0.999999725509345,-0.0005220713999136154,8.785369369984568e-05,-0.000518367067450311
1750194815680117504,0.0008112316363799721,-0.004756331990106943,-0.0006173906327262557,0.9999997174468374,-0.0005298559662637253,9.014602067476022e-05,-0.0005255783437791574
1750194815804237312,0.0008172827630561486,-0.004803373927718013,-0.0006248020439110213,0.9999997089630467,-0.0005359386376257448,9.306333100281407e-05,-0.0005349605733077741
1750194816031112960,0.0008278598183215635,-0.004860197374004116,-0.0006368023625449304,0.9999996998072386,-0.0005425092747785762,9.948612815555971e-05,-0.000544216528574535
1750194816155659520,0.0008378574873955102,-0.004907261906165417,-0.0006448440857913518,0.9999996942733923,-0.0005458930535001405,0.00010311550730483916,-0.0005502918209567795
1750194816388034048,0.0008496497549748128,-0.004960894527469506,-0.0006510635112313423,0.9999996900554396,-0.0005546255296331017,0.00010450542600055779,-0.0005489609845077537
1750194816512317696,0.0008593269009962157,-0.005010846653972223,-0.0006638944547798786,0.9999996811257716,-0.00056067297154277,0.00011275007043912334,-0.0005573881907798755
1750194816744429824,0.0008689075666454826,-0.005063846933668792,-0.0006711779607271318,0.9999996766323913,-0.0005677213514334198,0.00011688372614471215,-0.000557463697796678
1750194816870131712,0.0008770178142505358,-0.005109660451869225,-0.0006781859833746573,0.9999996690455628,-0.0005770182701590452,0.00011731618117513391,-0.0005614228303970333
1750194817100174848,0.0008857658847123417,-0.005154665115243873,-0.0006855582143008299,0.9999996634304705,-0.0005855972346481473,0.00011994058667137185,-0.0005619867257282037
1750194817224833792,0.0008934785904424203,-0.005204011800603148,-0.0006933054009761186,0.999999656628596,-0.0005900006125770388,0.00012369494509844822,-0.0005686312754525566
1750194817455835392,0.0008989796942433514,-0.005252726144354902,-0.000702116668159114,0.9999996464706127,-0.0005965832038338126,0.00012660657578950717,-0.0005788936909318193
1750194817579862016,0.0009030963282299354,-0.005299691598386502,-0.0007094684643980109,0.9999996403208796,-0.0006026787363027766,0.00012883744782125458,-0.0005826983475451199
1750194817807401216,0.000910126529828581,-0.0053469625486952665,-0.0007172346062658264,0.9999996334442476,-0.00060612881584613,0.00013153617057330973,-0.0005902689766810563
1750194817929579264,0.0009205458380225906,-0.005406168246448573,-0.000726529904247375,0.9999996222071673,-0.0006153666328936292,0.00013626745075155517,-0.000598615579084565
1750194818159870976,0.000925814855052387,-0.005444371345332932,-0.0007334736154596122,0.9999996151703994,-0.0006235165096413166,0.00013731629678959947,-0.0006016896626124496
1750194818284080384,0.0009375626844461138,-0.005497056990774851,-0.0007423499828642655,0.9999996140150209,-0.0006294590808500173,0.0001391249945760773,-0.0005969885347154805
1750194818513307136,0.0009444132354614609,-0.005556531921003582,-0.0007545911760256097,0.9999996034598372,-0.0006322959867315995,0.00014559561015767448,-0.0006099867798900822
1750194818637270784,0.0009545275816522647,-0.0056120160967205734,-0.0007652078579463151,0.999999590863989,-0.0006446601864096122,0.0001484260040744987,-0.0006169723007916789
1750194818870176512,0.0009651866846480672,-0.005670070878780464,-0.0007710589712464078,0.9999995909090004,-0.0006455945668371777,0.000149244880519419,-0.0006157235197577028
1750194818991601664,0.0009707424695966083,-0.005720726122321551,-0.0007784662785703667,0.999999581833131,-0.0006549067112860133,0.0001510315391189612,-0.0006201775849510065
1750194819222351616,0.0009780355849571265,-0.005766712498550319,-0.0007869770562805023,0.9999995739407723,-0.000663559005484143,0.00015455057546985847,-0.0006228337177672978
1750194819356968448,0.0009895980576066776,-0.005820552345460861,-0.0007956198700136419,0.9999995697273666,-0.0006689255017041419,0.00015631807349165812,-0.0006234167262527361
1750194819598195200,0.0010023470104183474,-0.0058803604798898235,-0.0008048265410947053,0.9999995669400297,-0.0006731227660365707,0.00015607485004103398,-0.0006234309395890422
1750194819720624896,0.0010055150552803482,-0.005928141078990201,-0.0008133087744757184,0.9999995600814823,-0.0006745557688676582,0.00015728514510160164,-0.0006325130352459347
1750194819949700864,0.0010133692177642928,-0.005975901787222959,-0.0008204074826845265,0.999999555182895,-0.0006786973031647478,0.00015943627093059396,-0.0006352826605870036
1750194820071247104,0.0010207275003253358,-0.00602676060118057,-0.0008310410611356289,0.9999995461689781,-0.0006849398853210337,0.00016418912651032703,-0.0006415302971454468
1750194820299439360,0.0010290850545544572,-0.0060893162245871935,-0.0008390568913432261,0.9999995392863466,-0.0006890591339710614,0.0001670196505078381,-0.000647092760630059
1750194820422203904,0.0010361199379396169,-0.006143246525115664,-0.000850523055291319,0.9999995327338848,-0.0006885960751408451,0.00017178207256501936,-0.000656398032195205
