#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1749296827358541056,1.541572391829535,-4.471099438555816,0.2969466477092624,0.6745218685550616,-0.013721923801787527,0.030486961038703284,0.7374974595581947
1749296827409598464,1.541531040439994,-4.46352194756263,0.2955181603506074,0.674033414107889,-0.013433794873669117,0.03226945061030004,0.7378734121640815
1749296827565155328,1.5418815205379897,-4.45551284879785,0.2952821747086407,0.6735113791089692,-0.015055885750788466,0.03221533576871789,0.7383210105748738
1749296827616303360,1.5418459994169864,-4.447296423400722,0.2956244446284755,0.6730844642089698,-0.017558427851230005,0.031543691702001074,0.7386839656887956
1749296827778848512,1.5414522173291987,-4.4390385092501505,0.29576838302269914,0.672923532851997,-0.020372682671768214,0.030712006267079206,0.7387933712519311
1749296827829118464,1.5410820433337191,-4.430864526169422,0.2949999695423129,0.6727754065438482,-0.023934570263755964,0.029137455117977985,0.7388852396721
1749296827988338432,1.5404364250559524,-4.422904575557494,0.2934992881998588,0.6725588263890765,-0.027355730760190496,0.027824483137172062,0.7390142672363463
1749296828042592000,1.5389586497421943,-4.414905150688584,0.2928013576040551,0.6723392249450381,-0.029188425432349938,0.02857024280224519,0.7391155144138881
1749296828200946432,1.5374177813696748,-4.406490369856488,0.29305971377533657,0.6720771886740293,-0.029927697530288108,0.03053442687583522,0.7392457197440601
1749296828251284736,1.535719959265208,-4.39855489415332,0.29314036988896097,0.6723927210533832,-0.02954788829104962,0.03396031900641506,0.738824503996009
1749296828413583616,1.5341225375369105,-4.39097453219349,0.2932100186424691,0.6737335846818284,-0.028285856591430562,0.03838411916519048,0.7374344896901519
1749296828465058816,1.5328167676802238,-4.384147232198391,0.2928309186746416,0.6757040507264339,-0.02653962374908817,0.04330911679839858,0.7354209710127173
1749296828628900608,1.5324541738938269,-4.377328871447269,0.2917322665371027,0.6782668723181356,-0.025588230751750922,0.04772846495547218,0.7328173619639231
1749296828685793792,1.53323919025787,-4.3707103632102955,0.29067907920674196,0.6815186121077602,-0.02605687144499072,0.05079972810826174,0.7295702902567635
1749296828852385536,1.5347098871596767,-4.364294187878188,0.2892035162861242,0.6852383917518702,-0.02723448361519138,0.052938945357853,0.7258816001497228
1749296828905342976,1.5366321229635216,-4.357944963715716,0.2873051862908489,0.689222737245563,-0.02927252140661632,0.05398901749186886,0.721942050267537
1749296829069924864,1.5380650731527368,-4.3512651759366685,0.28587575959221256,0.6938261619693308,-0.030712459372160952,0.05531257177602035,0.7173580146689265
1749296829120981760,1.5394167440026827,-4.344358678070969,0.2846692121499559,0.6987600029407789,-0.03209867144236267,0.05666912000856787,0.7123852500012146
1749296829288518144,1.5402673182660784,-4.337137906053579,0.283012749664437,0.7029076076408696,-0.033004816558598576,0.058181431293181686,0.708128871221333
1749296829339599104,1.541359008293671,-4.328807557298637,0.2821015362063126,0.7052722796093915,-0.03473891341061808,0.057959190800141384,0.7057088292712618
1749296829504759296,1.5421602219798514,-4.319947248212809,0.28051822476817323,0.7065005995088501,-0.0366315866971456,0.05722824541319076,0.7044430123697819
1749296829556635392,1.5423660174214175,-4.310566571751222,0.27837488232027274,0.7069280823816572,-0.03813824625038075,0.05667665042203619,0.7039786344840849
1749296829726444544,1.5424739417095945,-4.300951384094371,0.27601075414874643,0.7070350532346736,-0.040109081621258896,0.055810659056531445,0.7038308499949525
1749296829777564928,1.5426035508797038,-4.291380850432541,0.2734960265340174,0.7071144171068643,-0.042637036925312934,0.05458599040111094,0.7036985532554254
1749296829947575808,1.5423438304057275,-4.281703334075938,0.27181476596317333,0.7072326866972993,-0.04446948048961491,0.05436822657208911,0.7034831114613268
1749296829996997120,1.541505258102129,-4.271600445053878,0.2707650519285014,0.7075395889990861,-0.04424570106045856,0.05590786095255551,0.703067819645006
1749296830162978048,1.5410915023510299,-4.262062341231297,0.2692917092588374,0.7079039249745148,-0.04391750993279167,0.05729878447392757,0.7026095178865641
1749296830214067456,1.5410350537894089,-4.252516099191372,0.26724794172106314,0.7083350627263244,-0.043518784782963435,0.058719703021429384,0.7020822962876809
1749296830383580160,1.5410675158231473,-4.24302273582436,0.2655562408304779,0.7091581032626489,-0.04250814188013684,0.060680441854595,0.7011460093498009
1749296830435210752,1.5412099993680286,-4.233500926621966,0.26420957333186657,0.7105093305761911,-0.04108805901411977,0.06302282140080662,0.6996544765477507
1749296830607321600,1.5417709485847748,-4.224125661185749,0.262899139530679,0.7123887172776087,-0.039993426540566965,0.06506577803548952,0.6976168617928786
1749296830659789312,1.5424418273425355,-4.2146656861371685,0.26146693016762823,0.7148643136830988,-0.038606196650568324,0.06713790565648699,0.6949612048356584
1749296830828282624,1.543695671351847,-4.205326527823434,0.2597691955344561,0.7177097237700155,-0.03807987862201561,0.06835567013731489,0.6919322059350752
1749296830880401920,1.544907208828597,-4.1958727534613685,0.25834542615896305,0.7210760797470837,-0.03702866626731235,0.07008643678795833,0.6883066587426051
1749296831048223232,1.5468196270754229,-4.186572118217814,0.25662534191031927,0.7247747908853865,-0.03713491226840498,0.07083165333305397,0.6843284136099914
1749296831100380416,1.5494344872892478,-4.1777437891895834,0.2546123707386583,0.728748512563512,-0.038745416747831905,0.07053810354711322,0.6800358623377756
1749296831271024384,1.5518569009703227,-4.169039048564279,0.25306193979509306,0.7323996582982891,-0.04006633384078199,0.07065382541067496,0.6760129187907183
1749296831323670016,1.5546352569025217,-4.1600580868307695,0.25189084369405457,0.7349214848548206,-0.042230847737457604,0.06936336868589514,0.673272374067662
1749296831491830784,1.5569060477378147,-4.150974250522464,0.25042423710828476,0.7367671598270938,-0.044056207437314934,0.06852959798389571,0.6712204533435522
1749296831546520320,1.558596976651077,-4.14168837181548,0.24864952203597612,0.7380945674295456,-0.04501962969648499,0.0687925662005799,0.6696694896055233
